"","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Country","YearAcquired","MonthAcquired","AcceptCombo"
"1",1970,"Graduation","Divorced",84835,"None","None",0,189,104,379,111,189,218,1,4,4,6,1,"No","No","No","No","No","Yes","No","SP",2014,"Jun","No"
"2",1961,"Graduation","Single",57091,"None","None",0,464,5,64,7,0,37,1,7,3,7,5,"No","No","No","No","Yes","Yes","No","CA",2014,"Jun","Yes"
"3",1958,"Graduation","Married",67267,"None","One",0,134,11,59,15,2,30,1,3,2,5,2,"No","No","No","No","No","No","No","US",2014,"May","No"
"4",1967,"Graduation","Together",32474,"One","One",0,10,0,1,0,0,0,1,1,0,2,7,"No","No","No","No","No","No","No","AUS",2014,"May","No"
"5",1989,"Graduation","Single",21474,"One","None",0,6,16,24,11,0,34,2,3,1,2,7,"Yes","No","No","No","No","Yes","No","SP",2014,"Apr","No"
"6",1958,"PhD","Single",71691,"None","None",0,336,130,411,240,32,43,1,4,7,5,2,"No","No","No","No","No","Yes","No","SP",2014,"Mar","No"
"7",1954,"2n Cycle","Married",63564,"None","None",0,769,80,252,15,34,65,1,10,10,7,6,"Yes","No","No","No","No","Yes","No","GER",2014,"Jan","No"
"8",1967,"Graduation","Together",44931,"None","One",0,78,0,11,0,0,7,1,2,1,3,5,"No","No","No","No","No","No","No","SP",2014,"Jan","No"
"9",1954,"PhD","Married",65324,"None","One",0,384,0,102,21,32,5,3,6,2,9,4,"No","No","No","No","No","No","No","US",2014,"Jan","No"
"10",1954,"PhD","Married",65324,"None","One",0,384,0,102,21,32,5,3,6,2,9,4,"No","No","No","No","No","No","No","IND",2014,"Jan","No"
"11",1947,"2n Cycle","Married",81044,"None","None",0,450,26,535,73,98,26,1,5,6,10,1,"No","No","No","No","No","No","No","US",2013,"Dec","No"
"12",1979,"Master","Together",62499,"One","None",0,140,4,61,0,13,4,2,3,1,6,4,"No","No","No","No","No","No","No","SP",2013,"Dec","No"
"13",1959,"PhD","Widow",67786,"None","None",0,431,82,441,80,20,102,1,3,6,6,1,"No","No","No","No","No","Yes","No","IND",2013,"Dec","No"
"14",1981,"Graduation","Married",26872,"None","None",0,3,10,8,3,16,32,1,1,1,2,6,"No","No","No","No","No","No","No","CA",2013,"Oct","No"
"15",1969,"Graduation","Married",4428,"None","One",0,16,4,12,2,4,321,0,25,0,0,1,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
